Model,FPR,TPR
Logistic Regression,0.0,0.0
Logistic Regression,0.0,0.0029
Logistic Regression,0.0101,0.015
Logistic Regression,0.0152,0.0221
Logistic Regression,0.0202,0.0314
Logistic Regression,0.0303,0.0571
Logistic Regression,0.0354,0.1041
Logistic Regression,0.0404,0.1441
Logistic Regression,0.0505,0.1633
Logistic Regression,0.0606,0.1698
Logistic Regression,0.0707,0.1876
Logistic Regression,0.0808,0.1997
Logistic Regression,0.0859,0.204
Logistic Regression,0.0909,0.2354
Logistic Regression,0.101,0.2382
Logistic Regression,0.1061,0.2568
Logistic Regression,0.1111,0.3074
Logistic Regression,0.1212,0.3153
Logistic Regression,0.1263,0.3231
Logistic Regression,0.1313,0.3295
Logistic Regression,0.1414,0.3438
Logistic Regression,0.1465,0.3823
Logistic Regression,0.1515,0.4315
Logistic Regression,0.1616,0.4522
Logistic Regression,0.1667,0.4608
Logistic Regression,0.1717,0.51
Logistic Regression,0.1818,0.5314
Logistic Regression,0.1869,0.5892
Logistic Regression,0.1919,0.612
Logistic Regression,0.202,0.6141
Logistic Regression,0.2071,0.6327
Logistic Regression,0.2121,0.6469
Logistic Regression,0.2222,0.6498
Logistic Regression,0.2323,0.6526
Logistic Regression,0.2374,0.6641
Logistic Regression,0.2424,0.6683
Logistic Regression,0.2525,0.6698
Logistic Regression,0.2576,0.6869
Logistic Regression,0.2626,0.7525
Logistic Regression,0.2727,0.7668
Logistic Regression,0.2778,0.7746
Logistic Regression,0.2828,0.776
Logistic Regression,0.2929,0.7796
Logistic Regression,0.303,0.7896
Logistic Regression,0.3081,0.7917
Logistic Regression,0.3182,0.796
Logistic Regression,0.3232,0.8074
Logistic Regression,0.3283,0.8103
Logistic Regression,0.3434,0.8217
Logistic Regression,0.3485,0.8417
Logistic Regression,0.3535,0.8431
Logistic Regression,0.3737,0.8445
Logistic Regression,0.3788,0.8474
Logistic Regression,0.3838,0.8495
Logistic Regression,0.399,0.8538
Logistic Regression,0.4091,0.8559
Logistic Regression,0.4141,0.8616
Logistic Regression,0.4293,0.8645
Logistic Regression,0.4343,0.8745
Logistic Regression,0.4444,0.8752
Logistic Regression,0.4545,0.8837
Logistic Regression,0.4646,0.888
Logistic Regression,0.4747,0.8902
Logistic Regression,0.4848,0.8966
Logistic Regression,0.4949,0.9023
Logistic Regression,0.5051,0.9087
Logistic Regression,0.5152,0.9116
Logistic Regression,0.5253,0.9137
Logistic Regression,0.5303,0.9237
Logistic Regression,0.5404,0.9244
Logistic Regression,0.5556,0.9251
Logistic Regression,0.5758,0.9272
Logistic Regression,0.5859,0.928
Logistic Regression,0.5909,0.9294
Logistic Regression,0.596,0.9344
Logistic Regression,0.6061,0.9372
Logistic Regression,0.6111,0.9394
Logistic Regression,0.6212,0.9429
Logistic Regression,0.6364,0.9444
Logistic Regression,0.6414,0.9465
Logistic Regression,0.6465,0.9601
Logistic Regression,0.6717,0.9636
Logistic Regression,0.6818,0.9658
Logistic Regression,0.6869,0.9729
Logistic Regression,0.697,0.9765
Logistic Regression,0.7071,0.9772
Logistic Regression,0.7121,0.9793
Logistic Regression,0.7525,0.9815
Logistic Regression,0.7677,0.9843
Logistic Regression,0.7778,0.9857
Logistic Regression,0.7929,0.9893
Logistic Regression,0.798,0.99
Logistic Regression,0.803,0.9922
Logistic Regression,0.8434,0.9929
Logistic Regression,0.8535,0.9936
Logistic Regression,0.8737,0.995
Logistic Regression,0.9141,0.9971
Logistic Regression,0.9293,0.9979
Logistic Regression,0.9444,0.9993
Logistic Regression,1.0,1.0
Decision Tree,0.0,0.0
Decision Tree,0.6515,0.9016
Decision Tree,1.0,1.0
Random Forest,0.0,0.0
Random Forest,0.0,0.0007
Random Forest,0.0,0.0021
Random Forest,0.0,0.0078
Random Forest,0.0101,0.0171
Random Forest,0.0202,0.0357
Random Forest,0.0354,0.0835
Random Forest,0.0556,0.1163
Random Forest,0.0657,0.1484
Random Forest,0.0758,0.2033
Random Forest,0.0909,0.2297
Random Forest,0.096,0.2618
Random Forest,0.1111,0.3252
Random Forest,0.1414,0.3552
Random Forest,0.1515,0.3909
Random Forest,0.1566,0.4379
Random Forest,0.1717,0.4629
Random Forest,0.1818,0.4864
Random Forest,0.1919,0.5399
Random Forest,0.197,0.5592
Random Forest,0.197,0.5785
Random Forest,0.2071,0.6184
Random Forest,0.2071,0.6355
Random Forest,0.2172,0.6562
Random Forest,0.2323,0.6883
Random Forest,0.2374,0.7019
Random Forest,0.2424,0.719
Random Forest,0.2475,0.7489
Random Forest,0.2576,0.7568
Random Forest,0.2626,0.7668
Random Forest,0.2626,0.7932
Random Forest,0.2677,0.8039
Random Forest,0.2778,0.8096
Random Forest,0.2828,0.8231
Random Forest,0.2828,0.8302
Random Forest,0.2828,0.8359
Random Forest,0.2929,0.8438
Random Forest,0.2929,0.8509
Random Forest,0.303,0.8566
Random Forest,0.3081,0.8702
Random Forest,0.3081,0.8745
Random Forest,0.3131,0.8802
Random Forest,0.3131,0.8909
Random Forest,0.3182,0.8959
Random Forest,0.3232,0.8987
Random Forest,0.3434,0.9044
Random Forest,0.3485,0.9108
Random Forest,0.3687,0.9165
Random Forest,0.3737,0.9265
Random Forest,0.3788,0.9301
Random Forest,0.399,0.9372
Random Forest,0.404,0.9437
Random Forest,0.404,0.9472
Random Forest,0.4091,0.9494
Random Forest,0.4293,0.9572
Random Forest,0.4545,0.9601
Random Forest,0.4646,0.9636
Random Forest,0.4798,0.9658
Random Forest,0.4848,0.9693
Random Forest,0.4899,0.9736
Random Forest,0.4949,0.9772
Random Forest,0.4949,0.9815
Random Forest,0.5051,0.9829
Random Forest,0.5303,0.9836
Random Forest,0.5556,0.9836
Random Forest,0.5707,0.9843
Random Forest,0.5758,0.985
Random Forest,0.5909,0.9864
Random Forest,0.601,0.9872
Random Forest,0.6313,0.9907
Random Forest,0.6364,0.9922
Random Forest,0.6465,0.9922
Random Forest,0.6717,0.9929
Random Forest,0.6768,0.9929
Random Forest,0.6818,0.9936
Random Forest,0.7172,0.9936
Random Forest,0.7273,0.9936
Random Forest,0.7323,0.9936
Random Forest,0.7626,0.9936
Random Forest,0.7727,0.9936
Random Forest,0.7778,0.9943
Random Forest,0.798,0.995
Random Forest,0.8081,0.995
Random Forest,0.8182,0.995
Random Forest,0.8434,0.995
Random Forest,0.8535,0.995
Random Forest,0.8535,0.9957
Random Forest,0.8737,0.9964
Random Forest,0.8788,0.9964
Random Forest,0.8889,0.9964
Random Forest,0.9091,0.9971
Random Forest,0.9242,0.9971
Random Forest,0.9242,0.9979
Random Forest,0.9545,0.9979
Random Forest,0.9596,0.9979
Random Forest,0.9697,0.9979
Random Forest,0.9798,0.9986
Random Forest,0.9798,0.9993
Random Forest,0.9949,0.9993
Random Forest,1.0,1.0
Gradient Boosting,0.0,0.0
Gradient Boosting,0.0,0.0036
Gradient Boosting,0.0051,0.0257
Gradient Boosting,0.0152,0.0314
Gradient Boosting,0.0202,0.0478
Gradient Boosting,0.0253,0.0485
Gradient Boosting,0.0303,0.0728
Gradient Boosting,0.0354,0.0977
Gradient Boosting,0.0404,0.1234
Gradient Boosting,0.0505,0.1462
Gradient Boosting,0.0556,0.1576
Gradient Boosting,0.0606,0.1854
Gradient Boosting,0.0657,0.2047
Gradient Boosting,0.0707,0.2161
Gradient Boosting,0.0758,0.2247
Gradient Boosting,0.0808,0.2411
Gradient Boosting,0.0859,0.2539
Gradient Boosting,0.0909,0.2646
Gradient Boosting,0.096,0.2696
Gradient Boosting,0.101,0.2718
Gradient Boosting,0.1061,0.276
Gradient Boosting,0.1111,0.2796
Gradient Boosting,0.1162,0.311
Gradient Boosting,0.1212,0.3195
Gradient Boosting,0.1263,0.3203
Gradient Boosting,0.1364,0.3224
Gradient Boosting,0.1414,0.3231
Gradient Boosting,0.1515,0.3638
Gradient Boosting,0.1566,0.4101
Gradient Boosting,0.1616,0.418
Gradient Boosting,0.1667,0.4301
Gradient Boosting,0.1717,0.4565
Gradient Boosting,0.1768,0.4786
Gradient Boosting,0.1818,0.5485
Gradient Boosting,0.1869,0.5506
Gradient Boosting,0.1919,0.5514
Gradient Boosting,0.197,0.6006
Gradient Boosting,0.202,0.612
Gradient Boosting,0.2071,0.6155
Gradient Boosting,0.2121,0.6191
Gradient Boosting,0.2172,0.6227
Gradient Boosting,0.2273,0.6498
Gradient Boosting,0.2323,0.6776
Gradient Boosting,0.2374,0.6854
Gradient Boosting,0.2424,0.6997
Gradient Boosting,0.2525,0.7019
Gradient Boosting,0.2576,0.704
Gradient Boosting,0.2626,0.7297
Gradient Boosting,0.2677,0.7468
Gradient Boosting,0.2677,0.7725
Gradient Boosting,0.2727,0.7874
Gradient Boosting,0.2778,0.8317
Gradient Boosting,0.2828,0.8516
Gradient Boosting,0.2879,0.8538
Gradient Boosting,0.2929,0.8616
Gradient Boosting,0.298,0.888
Gradient Boosting,0.303,0.9016
Gradient Boosting,0.3081,0.9058
Gradient Boosting,0.3131,0.9258
Gradient Boosting,0.3182,0.9301
Gradient Boosting,0.3232,0.9308
Gradient Boosting,0.3283,0.9508
Gradient Boosting,0.3333,0.9529
Gradient Boosting,0.3434,0.9565
Gradient Boosting,0.3485,0.9572
Gradient Boosting,0.3535,0.9593
Gradient Boosting,0.3586,0.9622
Gradient Boosting,0.3636,0.9629
Gradient Boosting,0.3687,0.9643
Gradient Boosting,0.3737,0.9658
Gradient Boosting,0.3838,0.9679
Gradient Boosting,0.3889,0.9686
Gradient Boosting,0.3939,0.9757
Gradient Boosting,0.399,0.9765
Gradient Boosting,0.4091,0.9779
Gradient Boosting,0.4192,0.9793
Gradient Boosting,0.4242,0.98
Gradient Boosting,0.4343,0.9807
Gradient Boosting,0.4394,0.9829
Gradient Boosting,0.4444,0.985
Gradient Boosting,0.4697,0.9857
Gradient Boosting,0.4949,0.9864
Gradient Boosting,0.5,0.9879
Gradient Boosting,0.5152,0.9886
Gradient Boosting,0.5606,0.9893
Gradient Boosting,0.5859,0.99
Gradient Boosting,0.5909,0.9907
Gradient Boosting,0.6515,0.9914
Gradient Boosting,0.6667,0.9914
Gradient Boosting,0.6818,0.9922
Gradient Boosting,0.7475,0.9936
Gradient Boosting,0.7828,0.9943
Gradient Boosting,0.8939,0.995
Gradient Boosting,0.899,0.9957
Gradient Boosting,0.9293,0.9964
Gradient Boosting,0.9343,0.9971
Gradient Boosting,0.9697,0.9979
Gradient Boosting,0.9747,0.9986
Gradient Boosting,0.9798,0.9993
Gradient Boosting,1.0,1.0
